"Name","ID","State","Tags","Runtime","eval/accuracy","eval/f1","eval/precision","eval/recall","eval/loss","train/loss","model/num_parameters","max_length","hidden_size_factor","num_hidden","num_attention","intermediate_size_factor","hidden_act","hidden_dropout_prob","attention_dropout_prob","layer_norm_eps","batch_size"
"malbert-classifier-07Edeaef5A","lwbv2732","finished","","6480","0.8206236916191438","0.816923110785785","0.8461001689009693","0.8206236916191438","0.3235970139503479","0.2947","3590402","128","128","4","2","4","silu","0.001","0.001","0.025","128"
"malbert-classifier-E092f9b522","hlg89y12","finished","","5983","0.8138801261829653","0.8122273585800128","0.8118558083910473","0.8138801261829653","0.43236398696899414","0.5821","2968066","512","16","7","11","4","silu","0.001","0.25","0.075","1024"
"malbert-classifier-9EB5354a5d","ah259rrc","failed","","5340","","","","","","","854874626","512","128","10","12","16","silu","0.25","0.001","0.01","512"
"malbert-classifier-ccaAa47c4F","muihf6cq","finished","","5283","0.6199139520590043","0.4754996588877279","0.4209159087290941","0.6199139520590043","0.6895301342010498","0.6925","77346","512","16","5","1","16","silu","0.1","0.25","0.1","1024"
"malbert-classifier-5de7Ed5aCA","dqyd5uhs","finished","","4976","0.7011652957305131","0.5943224077690243","0.6777646478243049","0.7011652957305131","0.6548742651939392","0.6705","7790","32","1","10","4","4","gelu","0.25","0.25","0.075","1024"
"malbert-classifier-E0ce177DeD","1jnovsvf","finished","","1041","0.7944400118406066","0.7930129976454895","0.7931996947422518","0.7944400118406066","0.411766916513443","0.4452","40422","16","4","4","5","2","relu","0.25","0.01","0.1","256"
"malbert-classifier-fBC3c9c0EC","zqk532er","finished","","531","0.8236839515890977","0.8237110377822376","0.8241100269766842","0.8236839515890977","0.3993382453918457","0.4264","106562","128","4","5","9","2","silu","0.01","0.25","0.075","128"
"malbert-classifier-E3087743FB","h31fuwtr","finished","pretrained","948","0.847905175448891","0.8498477757853568","0.8684717380851203","0.847905175448891","0.33013391494750977","0.3626","185978","128","8","4","7","2","silu","0.01","0.001","0.01","256"
"malbert-classifier-63ADf2b4a6","9byrqso4","finished","","1071","0.8024919243193355","0.7997989420769621","0.8434137434293733","0.8024919243193355","0.3891127705574035","0.2521","463746","128","32","11","2","2","gelu_new","0.01","0.01","0.025","64"
"malbert-classifier-B57fcbBa0b","4h32488w","finished","","606","0.7752457827007752","0.7766248359938619","0.7806704076784454","0.7752457827007752","0.4529803395271301","0.4363","283682","32","4","7","10","8","silu","0.1","0.001","0.01","1024"
"malbert-classifier-E3087743FB","096tj7kh","finished","pretrained","1271","0.569171658469009","0.4129011316970078","0.32395637680436223","0.569171658469009","0.6852898001670837","0.684","1812","64","1","12","1","8","silu","0.001","0.1","0.025","256"
"malbert-classifier-E3087743FB","prwkltc9","finished","pretrained","1065","0.5936931003757796","0.5772016706236747","0.6484569910897388","0.5936931003757796","0.6579596400260925","0.6554","1054274","512","16","3","12","1","relu","0.001","0.25","0.075","1024"
"malbert-classifier-E3087743FB","8i212y8d","finished","pretrained","653","0.8055374821072863","0.8049881946504913","0.8057838210531469","0.8055374821072863","0.46194714307785034","0.4757","177922","128","4","9","10","2","relu","0.25","0.25","0.1","256"
"malbert-classifier-6Dd0b9ca80","h2tpwr6l","finished","","2699","0.7716600786888854","0.7640594234898276","0.7776712360321314","0.7716600786888854","0.4970840513706207","0.3323","109146242","64","128","4","9","8","silu","0.1","0.001","0.01","512"
"malbert-classifier-E3087743FB","kac225gf","finished","pretrained","451","0.7612164379735344","0.7555192206183776","0.8076590573985785","0.7612164379735344","0.4999786913394928","0.4228","719842","128","32","3","5","1","relu","0.25","0.1","0.025","1024"
"malbert-classifier-E3087743FB","kyqcesx3","finished","pretrained","1075","0.7506521469090307","0.7418442985264221","0.7716315622516291","0.7506521469090307","0.5612486600875854","0.3818","2788850","512","16","10","9","4","gelu","0.1","0.01","0.075","256"
"malbert-classifier-3A09ABfADE","law3d96a","finished","","1514","0.7901803545641687","0.7867322735258769","0.814447256167201","0.7901803545641687","0.5831436514854431","0.2918","48957698","128","128","10","6","2","gelu_new","0.001","0.01","0.01","128"
"malbert-classifier-83eef24D3B","mi36bduh","finished","","412","0.8134790988952825","0.8113277748110254","0.8144005350432789","0.8134790988952825","0.36330661177635193","0.3697","1716914","32","16","6","9","4","relu","0.1","0.01","0.025","128"
"malbert-classifier-1db3eEafDC","mb2zkogf","finished","","628","0.7978410272466188","0.7952890860966324","0.8032145397954997","0.7978410272466188","0.39059460163116455","0.4016","15777026","16","64","2","12","4","gelu_new","0.01","0.001","0.01","512"
"malbert-classifier-eE2AaBbf1e","nm57ta8o","finished","","383","0.7989625332288325","0.7952764862018815","0.8214627248181069","0.7989625332288325","0.41425779461860657","0.3435","1819970","128","32","9","3","8","gelu_new","0.01","0.01","0.01","128"
"malbert-classifier-E3087743FB","erjmoeqb","finished","pretrained","2007","0.8983797015143489","0.8973502127193121","0.9036535332229612","0.8983797015143489","0.21854838728904724","0.2405","29409282","256","64","3","8","16","gelu_new","0.001","0.001","0.025","128"
"malbert-classifier-1BFACE2021","2l5zsgl9","finished","","386","0.8400775427237823","0.8392934336921594","0.8423108779917993","0.8400775427237823","0.32749390602111816","0.3697","2198402","256","32","10","4","4","gelu_new","0.1","0.01","0.01","64"
"malbert-classifier-eFf3fB60b1","q90xlye6","finished","","324","0.846936148300721","0.8488918411219298","0.852421273911832","0.846936148300721","0.3301089406013489","0.3961","1264802","128","32","10","3","4","gelu_new","0.001","0.01","0.025","128"
"malbert-classifier-E3087743FB","y613zq6j","finished","pretrained","644","0.7628073770491803","0.758731704353056","0.765981610898908","0.7628073770491803","0.5095934271812439","0.4449","294098","512","4","3","11","16","relu","0.001","0.01","0.1","128"
"malbert-classifier-E3087743FB","jk425nql","finished","pretrained","528","0.8912950369279304","0.8907955838281275","0.8908324114091393","0.8912950369279304","0.3980788588523865","0.481","132194","128","4","10","8","2","silu","0.1","0.01","0.075","512"
"malbert-classifier-bDbcD5eDB3","7llyhwxg","finished","","1271","0.7123908899125184","0.6988144227826222","0.7691373936355688","0.7123908899125184","0.7414312958717346","0.3821","688074","16","8","6","11","4","gelu","0.25","0.001","0.01","64"
"malbert-classifier-c3aa5D2D94","fj221ze8","finished","","375","0.7889835838862994","0.7869602629988133","0.8023866939766665","0.7889835838862994","0.4218757748603821","0.3643","5150722","32","32","9","8","2","relu","0.1","0.001","0.01","1024"
"malbert-classifier-d3D4348105","okeafkt4","finished","","311","0.8648991301919959","0.8629929674229392","0.8643664333187038","0.8648991301919959","0.3207189440727234","0.4248","2883586","32","16","7","11","4","relu","0.1","0.001","0.01","512"
"malbert-classifier-aB20BfDD1B","0gk2ni3v","finished","","932","0.8774719838103808","0.8760045392776435","0.881294138352793","0.8774719838103808","0.2664635181427002","0.3299","31216770","32","64","5","11","4","silu","0.1","0.001","0.01","1024"
"malbert-classifier-E3087743FB","xwutyfai","finished","pretrained","3029","0.891691208722351","0.8908386413841547","0.8922766410029328","0.891691208722351","0.2775603234767914","0.2285","25056578","32","64","12","9","1","silu","0.001","0.1","0.025","64"
"malbert-classifier-ee533BE63C","wvbhja9k","finished","","1048","0.7804828321692945","0.7740544155824067","0.7922693030525895","0.7804828321692945","0.4448038041591644","0.3454","27272450","64","32","9","12","8","relu","0.01","0.001","0.01","1024"
"malbert-classifier-E557Bfb4B3","lx1cte5h","finished","","1082","0.8709330198833808","0.8710893721389918","0.8712889192017965","0.8709330198833808","0.294893741607666","0.3474","14015938","32","32","9","11","4","relu","0.1","0.001","0.01","256"
"malbert-classifier-A3c66E9c41","nz5pi414","finished","","1128","0.7480046948356808","0.7394491490548172","0.7832270549256646","0.7480046948356808","0.5045948624610901","0.3794","215082","64","4","12","10","2","gelu","0.01","0.001","0.025","128"
"malbert-classifier-D88Af5bCbF","6tpenugo","finished","","957","0.8246131960749822","0.8194397100738247","0.8244825736900695","0.8246131960749822","0.3585756719112396","0.3736","2132770","16","16","5","11","4","relu","0.1","0.001","0.025","512"
"malbert-classifier-E3087743FB","lvfzjaee","finished","pretrained","3791","0.876410280618485","0.8737107288402076","0.8814964561396399","0.876410280618485","0.26236143708229065","0.2988","5391202","64","32","10","5","8","gelu_new","0.01","0.1","0.1","64"
"malbert-classifier-cAaC4Ef508","4q12yain","finished","","812","0.7764633551697089","0.7670827435481716","0.7939437030327685","0.7764633551697089","0.44598233699798584","0.3703","1640802","64","32","9","5","1","gelu_new","0.1","0.1","0.01","256"
"malbert-classifier-95dfaC1e2a","3zp2zplz","finished","","1164","0.8407499877612963","0.8378666035890134","0.8431826383395082","0.8407499877612963","0.40060165524482727","0.353","2380290","128","64","11","2","4","gelu_new","0.1","0.1","0.025","64"
"malbert-classifier-E3087743FB","i10cantc","finished","pretrained","2692","0.5689660305457144","0.4126569187764382","0.32372234391494675","0.5689660305457144","0.6836242079734802","0.6706","24347","64","1","11","9","4","gelu_new","0.1","0.001","0.01","1024"
"malbert-classifier-AbF63136f9","8o2kcz3l","finished","","1504","0.7457197988961936","0.7428327689251959","0.7808794174014192","0.7457197988961936","0.49777382612228394","0.4062","1223938","16","16","7","7","4","relu","0.1","0.1","0.05","256"
"malbert-classifier-E3087743FB","r37w0rgc","finished","pretrained","1153","0.5519589648220907","0.3926117967718285","0.304658698847474","0.5519589648220907","0.6893146634101868","0.6861","1496","64","1","8","1","1","gelu_new","0.25","0.25","0.05","512"
"malbert-classifier-Dc1dd54C11","v07x9d0n","finished","","913","0.8065488112862492","0.797519588639225","0.8238600899433648","0.8065488112862492","0.4260505735874176","0.2843","6749442","128","128","8","2","4","gelu_new","0.1","0.25","0.025","128"
"malbert-classifier-B8aaa42972","thtccepn","finished","","1081","0.780620688217762","0.7704618075935322","0.789553023197371","0.780620688217762","0.4039123356342316","0.4521","181946","32","4","5","9","8","relu","0.01","0.001","0.01","128"
"malbert-classifier-E3087743FB","1ck6rn23","finished","pretrained","2272","0.5907816437892502","0.4388068620240728","0.34902295063832856","0.5907816437892502","0.6765912771224976","0.6731","13160","64","2","6","3","8","relu","0.1","0.01","0.1","64"
"malbert-classifier-0A0D7f456A","qw11bgqn","finished","","913","0.7453279728292004","0.7311892152608066","0.7459299602029646","0.7453279728292004","0.49645692110061646","0.4288","418250","16","8","10","9","1","silu","0.1","0.1","0.1","1024"
"malbert-classifier-E3087743FB","je4sf742","finished","pretrained","1492","0.7275038338651217","0.7252786060355062","0.7235342771940761","0.7275038338651217","0.6395552754402161","0.651","4886","16","1","4","3","8","silu","0.1","0.1","0.1","1024"
"malbert-classifier-aeeAE84768","gicrmldj","finished","","1780","0.7813855994371753","0.7767472302308958","0.7946834919670099","0.7813855994371753","0.4163125455379486","0.4363","93794","16","8","1","6","4","gelu_new","0.1","0.1","0.05","64"
"malbert-classifier-E3087743FB","a3gyx49s","finished","pretrained","1441","0.5106138981065782","0.3451928428123068","0.260726552939595","0.5106138981065782","0.6983091235160828","0.6764","39342","256","2","3","10","1","gelu_new","0.25","0.25","0.05","512"
"malbert-classifier-843D1Eb68F","by5dqn56","finished","","1680","0.8442988195698151","0.8432038296274803","0.8432611227144385","0.8442988195698151","0.3190630078315735","0.4004","978050","16","16","4","8","4","relu","0.25","0.01","0.05","128"
"malbert-classifier-fD67a8e7D5","045926c5","finished","","680","0.781414824656762","0.7688505582335486","0.8088693487667493","0.781414824656762","0.4134580790996551","0.3658","2130402","256","32","6","5","4","gelu","0.1","0.01","0.075","64"
"malbert-classifier-7019DB313D","p4ogn5al","finished","","733","0.7999218530486092","0.7905352696889386","0.8019186257651925","0.7999218530486092","0.4832870960235596","0.4695","23762","64","1","11","10","2","gelu","0.1","0.001","0.01","256"
"malbert-classifier-3CAE9D70Cd","t4b5bce7","finished","","2221","0.851488156501338","0.8448877506227178","0.8483987830242797","0.851488156501338","0.3528488576412201","0.4016","134822","16","4","8","9","2","gelu","0.1","0.001","0.025","128"
"malbert-classifier-E3087743FB","f3j9c3zh","finished","pretrained","4718","0.74265340944998","0.7436835993548029","0.7556514161914364","0.74265340944998","0.46668487787246704","0.4586","22742","32","2","7","5","4","relu","0.1","0.01","0.1","64"
"malbert-classifier-F1eDefE11D","iei6rkot","finished","","1424","0.8510348340512234","0.8487506941653867","0.8535817875544999","0.8510348340512234","0.28888148069381714","0.3261","2675138","64","64","8","3","2","gelu_new","0.1","0.25","0.025","64"
